table,dataset,model,train_size,weight_decay,n,profile,endpoint,units,uniform_mean,frontloaded_mean,estimate,ci95_lower,ci95_upper,interval_kind
benchmarks,Tiny ImageNet,MLP,80000,0,5,Step early,final_loss,percent reduction,5.627353655471802,5.130071236953735,8.836878734901102,8.383496896767129,9.290065505158019,bounded
benchmarks,Tiny ImageNet,MLP,80000,0,5,Step early,final_accuracy_percent,percentage points,7.473999999999999,8.266,0.7919999999999996,0.42435421408582824,1.159645785914171,bounded
benchmarks,Tiny ImageNet,Transformer,80000,0,5,Linear decreasing,checkpoint_loss,percent reduction,3.034673309631348,3.003997753524781,1.0108355324182652,-0.3421443625320597,2.3499121678436485,bounded
benchmarks,Tiny ImageNet,Transformer,80000,0,5,Linear decreasing,checkpoint_accuracy_percent,percentage points,31.49,31.776,0.2859999999999978,-0.5032432854300538,1.0752432854300493,bounded
benchmarks,Tiny ImageNet,Transformer,80000,0,5,Linear decreasing,final_loss,percent reduction,6.10429446182251,6.0016061750793455,1.682230229642396,-1.2579132044470143,4.538080869986927,bounded
benchmarks,Tiny ImageNet,Transformer,80000,0,5,Linear decreasing,final_accuracy_percent,percentage points,34.0,34.10600000000001,0.10600000000000023,-0.8773320385547168,1.0893320385547172,bounded
benchmarks,FI-2010,MLP,40000,0,5,Big step,checkpoint_loss,percent reduction,1.0934260965347289,1.0543846688842775,3.570559343167402,2.4064001639503285,4.725358337058094,bounded
benchmarks,FI-2010,MLP,40000,0,5,Big step,checkpoint_accuracy_percent,percentage points,47.704,48.37199999999999,0.6679999999999993,-0.2916785618722273,1.6276785618722258,bounded
benchmarks,FI-2010,MLP,40000,0,5,Big step,final_loss,percent reduction,,,,,,missing
benchmarks,FI-2010,MLP,40000,0,5,Big step,final_accuracy_percent,percentage points,,,,,,missing
